positive sentiment: compound score >= 0.05, neutral sentiment: (compound score > -0.05) and (compound score < 0.05), negative sentiment: compound score <= -0.05
On 2019-10-23, the article 'CITIZEN by CNN' has a sentiment score of {'neg': 0.106, 'neu': 0.787, 'pos': 0.107, 'compound': -0.8092}
On 2019-10-23, the article 'The latest on the Trump impeachment inquiry' has a sentiment score of {'neg': 0.075, 'neu': 0.842, 'pos': 0.083, 'compound': 0.9704}
On 2019-10-24, the article 'White House trade adviser declines to say whether investigating Bidens was mentioned during China trade talks' has a sentiment score of {'neg': 0.041, 'neu': 0.912, 'pos': 0.047, 'compound': 0.2128}
On 2019-01-21, the article 'Here are the 18 Democrats who are running for president' has a sentiment score of {'neg': 0.065, 'neu': 0.846, 'pos': 0.089, 'compound': 0.9922}
On 2019-10-22, the article 'The latest on the Trump impeachment inquiry' has a sentiment score of {'neg': 0.076, 'neu': 0.854, 'pos': 0.07, 'compound': -0.9976}
On 2019-10-24, the article 'Trump's impeachment defense has come to this' has a sentiment score of {'neg': 0.101, 'neu': 0.841, 'pos': 0.058, 'compound': -0.9975}
On 2019-10-24, the article 'Amy Klobuchar qualifies for November Democratic debate' has a sentiment score of {'neg': 0.005, 'neu': 0.942, 'pos': 0.053, 'compound': 0.9239}
On 2019-10-24, the article 'Biden allies intensify push for super PAC after lackluster fundraising quarter' has a sentiment score of {'neg': 0.046, 'neu': 0.824, 'pos': 0.13, 'compound': 0.9992}
On 2019-10-24, the article 'Pete Buttigieg gets aggressive as he looks to break out of the middle' has a sentiment score of {'neg': 0.067, 'neu': 0.831, 'pos': 0.102, 'compound': 0.995}
On 2019-10-23, the article 'How two businessmen hustled to profit from access to Rudy Giuliani and the Trump administration' has a sentiment score of {'neg': 0.049, 'neu': 0.879, 'pos': 0.073, 'compound': 0.9858}
On 2019-10-23, the article 'Ukrainian President and advisers discussed pressure from Trump weeks before taking office' has a sentiment score of {'neg': 0.062, 'neu': 0.882, 'pos': 0.056, 'compound': -0.5313}
On 2019-10-24, the article 'Rudy Giuliani is looking for a defense attorney, sources say' has a sentiment score of {'neg': 0.048, 'neu': 0.917, 'pos': 0.034, 'compound': -0.8202}
On 2019-10-23, the article 'Trump tests out impeachment response strategies as allies look for unified defense' has a sentiment score of {'neg': 0.1, 'neu': 0.833, 'pos': 0.068, 'compound': -0.9965}
On 2019-10-23, the article 'Republicans focus on Democrats -- not Trump -- in impeachment inquiry' has a sentiment score of {'neg': 0.073, 'neu': 0.845, 'pos': 0.082, 'compound': 0.1513}
On 2019-10-23, the article ''No quid pro quo': How Trump wants to sidetrack impeachment' has a sentiment score of {'neg': 0.063, 'neu': 0.876, 'pos': 0.061, 'compound': 0.1643}
On 2019-10-23, the article ''Lynching' isn't a euphemism for unwanted criticism. It's a real act of violence' has a sentiment score of {'neg': 0.187, 'neu': 0.747, 'pos': 0.066, 'compound': -0.9995}
On 2019-10-22, the article 'CNN's latest poll on 2020 Democrats' has a sentiment score of {'neg': 0.052, 'neu': 0.861, 'pos': 0.087, 'compound': 0.9972}
On 2019-10-23, the article 'Expect Trump to fight as if his life depends on it' has a sentiment score of {'neg': 0.114, 'neu': 0.776, 'pos': 0.11, 'compound': -0.2149}
On 2019-09-28, the article 'Trump's Ukraine scandal: Who's who?' has a sentiment score of {'neg': 0.071, 'neu': 0.861, 'pos': 0.068, 'compound': 0.3791}
On 2019-10-23, the article 'Giuliani associates Fruman and Parnas plead not guilty to campaign finance charges' has a sentiment score of {'neg': 0.042, 'neu': 0.886, 'pos': 0.073, 'compound': 0.9163}
On 2019-10-23, the article 'Trump is doing Biden a big favor' has a sentiment score of {'neg': 0.094, 'neu': 0.799, 'pos': 0.107, 'compound': 0.8854}
On 2019-10-23, the article 'Cory Booker says he's the alternative to Joe Biden: 'Look no further'' has a sentiment score of {'neg': 0.028, 'neu': 0.824, 'pos': 0.148, 'compound': 0.9962}
On 2019-10-23, the article 'Melania Trump receives warm welcome on first solo Capitol Hill visit amid Syria, impeachment drama' has a sentiment score of {'neg': 0.112, 'neu': 0.761, 'pos': 0.127, 'compound': 0.7775}
On 2019-10-23, the article 'Washington Post: Trump administration has tried to cut billions in foreign aid to fight corruption despite calling it a priority' has a sentiment score of {'neg': 0.084, 'neu': 0.854, 'pos': 0.062, 'compound': -0.918}
On 2019-10-23, the article 'The most important number in the CNN 2020 poll isn't the one you think it is' has a sentiment score of {'neg': 0.019, 'neu': 0.888, 'pos': 0.092, 'compound': 0.9923}
On 2019-10-23, the article 'Intelligence Committee member says diplomat's 'startling' testimony was 'most detailed, specific' so far' has a sentiment score of {'neg': 0.018, 'neu': 0.937, 'pos': 0.046, 'compound': 0.7783}
On 2019-10-23, the article '5 explosive lines from Bill Taylor's statement' has a sentiment score of {'neg': 0.026, 'neu': 0.923, 'pos': 0.051, 'compound': 0.9761}
On 2019-10-23, the article 'How much more of Donald Trump can Republicans possibly take?' has a sentiment score of {'neg': 0.053, 'neu': 0.901, 'pos': 0.046, 'compound': -0.8695}
On 2019-10-22, the article 'US diplomat directly ties Trump to Ukraine quid pro quo' has a sentiment score of {'neg': 0.025, 'neu': 0.928, 'pos': 0.047, 'compound': 0.9841}
On 2019-10-23, the article 'CNN Poll: Biden's lead in Democratic primary hits widest margin since April' has a sentiment score of {'neg': 0.027, 'neu': 0.846, 'pos': 0.127, 'compound': 0.9991}
On 2019-10-23, the article 'Dramatic deposition rocks Trump's impeachment defense' has a sentiment score of {'neg': 0.087, 'neu': 0.844, 'pos': 0.069, 'compound': -0.9836}
On 2019-10-23, the article 'Can the Democrats avoid a brokered convention?' has a sentiment score of {'neg': 0.05, 'neu': 0.866, 'pos': 0.084, 'compound': 0.9923}
On 2019-10-23, the article '5 things to know for October 23: Impeachment, Chicago, Hong Kong, Syria, ExxonMobil' has a sentiment score of {'neg': 0.117, 'neu': 0.816, 'pos': 0.068, 'compound': -0.995}
On 2019-10-21, the article 'The latest on the Trump impeachment inquiry' has a sentiment score of {'neg': 0.051, 'neu': 0.871, 'pos': 0.077, 'compound': 0.9994}
On 2019-10-22, the article 'Joe Biden said in 1998 that Clinton impeachment could be seen as 'partisan lynching'' has a sentiment score of {'neg': 0.067, 'neu': 0.877, 'pos': 0.057, 'compound': -0.8845}
On 2019-10-23, the article 'Catch up on the latest from explosive testimony of top American diplomat to Ukraine' has a sentiment score of {'neg': 0.046, 'neu': 0.876, 'pos': 0.078, 'compound': 0.9935}
On 2019-10-23, the article 'This is what strongman diplomacy looks like -- Meanwhile in America' has a sentiment score of {'neg': 0.108, 'neu': 0.823, 'pos': 0.07, 'compound': -0.9961}
On 2019-10-22, the article 'McConnell denies he told Trump his call with the Ukrainian President was perfect' has a sentiment score of {'neg': 0.045, 'neu': 0.887, 'pos': 0.068, 'compound': 0.8746}
On 2019-10-22, the article 'Pentagon official overseeing Ukraine policy set to appear before impeachment inquiry' has a sentiment score of {'neg': 0.027, 'neu': 0.851, 'pos': 0.122, 'compound': 0.984}
On 2019-10-22, the article 'The next House impeachment witness is the most important so far' has a sentiment score of {'neg': 0.051, 'neu': 0.865, 'pos': 0.084, 'compound': 0.9927}
On 2019-10-22, the article 'Anita Hill says voters need to press 2020 Democrats on gender violence' has a sentiment score of {'neg': 0.103, 'neu': 0.821, 'pos': 0.075, 'compound': -0.9629}
On 2019-10-22, the article 'Democrats now have a real chance at winning the Senate in 2020' has a sentiment score of {'neg': 0.04, 'neu': 0.828, 'pos': 0.132, 'compound': 0.9981}
On 2019-10-22, the article 'Trump vents fury at impeachment probe with key witness due to testify' has a sentiment score of {'neg': 0.09, 'neu': 0.817, 'pos': 0.093, 'compound': 0.7084}
On 2019-10-21, the article 'Facebook: Russian trolls are back. And they're here to meddle with 2020' has a sentiment score of {'neg': 0.039, 'neu': 0.878, 'pos': 0.083, 'compound': 0.9907}
On 2019-10-21, the article 'Facebook tries to get its house in order ahead of 2020 election' has a sentiment score of {'neg': 0.046, 'neu': 0.879, 'pos': 0.075, 'compound': 0.961}
On 2019-10-20, the article 'The latest on the Trump impeachment inquiry' has a sentiment score of {'neg': 0.057, 'neu': 0.865, 'pos': 0.078, 'compound': 0.9986}
On 2019-10-22, the article 'Washington Post: Putin and Hungarian Prime Minister disparaged Ukraine to Trump' has a sentiment score of {'neg': 0.047, 'neu': 0.911, 'pos': 0.042, 'compound': 0.5106}
